Chassis_Roll_std,Chassis_Roll_Rate_std,Chassis_Pitch_std,Chassis_Pitch_Rate_std,Chassis_Vert_Accel_std,Chassis_Long_Accel_std,Chassis_Lat_Accel_std,Boom_L2_std,Boom_R2_std,Boom_L2_R2_Average_std
1.165669938,1.452349258,0.849533417,1.400776055,0.032987303,0.17160955,0.199895836,168.1798455,165.3268485,166.753347
1.243373586,1.387802741,1.352137834,1.459246813,0.048506731,0.295878492,0.212547521,173.6270259,215.3866125,194.5068192
1.992816943,1.313749615,0.954993546,1.565375337,0.03084694,0.174431995,0.355445644,188.293229,234.054875,211.174052
2.238147695,1.320530278,0.9621596,1.395179746,0.032016114,0.213074251,0.368490831,176.2578447,208.2581462,192.2579954
1.028731432,1.392005977,1.47824241,2.167844223,0.056380278,0.281864051,0.17417585,168.987986,216.1267557,192.5573709
1.10726422,1.306714969,1.121078823,1.931899036,0.053976302,0.255630462,0.190764356,217.5507765,195.8379674,206.6943719
0.924958076,0.957994373,1.177392937,0.944503273,0.040743107,0.234977974,0.152435871,200.4332524,196.4797854,198.4565189
0.77938686,1.25859994,1.329925211,1.330465978,0.039475578,0.289749769,0.143570153,190.650008,210.1377009,200.3938544
1.551419899,1.232980869,1.19154866,1.290914898,0.053474095,0.216392948,0.376502684,293.4220353,288.3786793,290.9003573
1.874122661,1.306732057,1.416022281,1.272505579,0.046613815,0.3833338,0.326016822,284.6570964,278.6744538,281.6657751
2.509056773,1.26949426,1.697151999,1.396414351,0.064334237,0.411484078,0.434565748,294.5694538,370.2626623,332.416058
1.581035762,1.464992489,1.208497239,1.573925132,0.065535388,0.392624957,0.270838294,269.0899066,296.9758769,283.0328918
0.830744871,1.301191927,0.969699083,1.843590978,0.058970251,0.183245757,0.144534658,191.5270074,215.9861837,203.7565956
0.684813105,1.239257472,0.496688822,0.994965315,0.025731569,0.377720764,0.166246255,182.2510268,216.206228,199.2286274
0.62342468,1.33005802,0.427534642,0.877729659,0.022789722,0.194635405,0.149152037,115.2049218,135.1625721,125.1837469
0.702780306,1.367536003,0.680383557,1.004090513,0.038271166,0.28797723,0.134912788,164.9676035,186.7871881,175.8773958
1.282832498,1.477901438,0.834188331,1.431271098,0.029743407,0.156728807,0.214201966,208.1916677,184.9279882,196.559828
1.304528025,1.309173894,1.370843935,1.513767178,0.051597022,0.310776488,0.215503534,177.4222209,198.7220062,188.0721135
2.113182989,1.248188554,0.907438331,1.333075928,0.030013407,0.165434966,0.365288633,230.6737874,236.7966762,233.7352318
2.173061049,1.379668593,0.959835109,1.624282836,0.034961737,0.217141809,0.378450963,157.2219982,185.187982,171.2049901
1.036809384,1.350689228,1.415047151,2.052651684,0.056166802,0.275395633,0.174714037,167.7484768,226.8703168,197.3093968
1.171229635,1.24986944,1.097768629,2.050711988,0.05875704,0.241021722,0.19415494,257.0582991,207.8441457,232.4512224
0.683426692,1.03532574,1.041697638,0.870281407,0.039763218,0.235516443,0.118934555,177.2324631,167.3147299,172.2735965
0.955908158,1.281006034,1.045688493,2.010067954,0.048346587,0.275132782,0.168467971,208.8212061,197.6386886,203.2299473
1.62252948,1.268718884,1.150561738,1.428436282,0.064773829,0.263868842,0.300291865,226.5768546,222.9138562,224.7453554
2.02171115,1.264831978,1.487625968,1.378255687,0.0512738,0.345822181,0.344016726,224.979135,253.9699237,239.4745294
2.275606653,1.432876227,1.763613029,1.8133684,0.069604224,0.399555834,0.394026055,252.6093144,314.3694588,283.4893866
1.488124406,1.540556741,1.264761848,2.43811163,0.072829103,0.355107607,0.263765527,276.2037291,254.7057972,265.4547632
0.792929638,1.480708841,0.833961828,1.91066834,0.052912767,0.253685307,0.145024256,217.8740604,243.0559442,230.4650023
0.562108591,1.242180079,0.345422097,0.747567314,0.020923991,0.226110031,0.110741723,176.0795161,158.5819217,167.3307189
0.695423443,1.281211776,0.308468136,0.834838856,0.02006741,0.284248746,0.138998058,229.1505119,169.818994,199.4847529
0.818903694,1.137529513,0.726533228,1.199922362,0.037915978,0.340021959,0.149160154,160.7636619,170.7993382,165.7815001
1.24735194,1.543980836,0.962207986,1.450193006,0.035933099,0.16754749,0.203631291,210.9266241,174.7449682,192.8357962
1.268147109,1.310824634,1.396231331,1.524146954,0.047179104,0.300516784,0.220141395,206.7980906,206.9889774,206.893534
