Chassis_Roll_mean,Chassis_Roll_Rate_mean,Chassis_Pitch_mean,Chassis_Pitch_Rate_mean,Chassis_Vert_Accel_mean,Chassis_Long_Accel_mean,Chassis_Lat_Accel_mean,Boom_L2_std,Boom_R2_std,Boom_L2_R2_Average_std
2.284830785,0.19637273,1.515954732,-0.480476782,9.813796935,0.153772006,0.466084351,168.1798455,165.3268485,166.753347
-2.357009775,0.252221106,-0.655177528,-0.576797165,9.810352624,0.107525361,-0.366866402,173.6270259,215.3866125,194.5068192
0.621062983,0.282432671,1.346402077,-0.502551822,9.824899882,0.190725894,0.249051692,188.293229,234.054875,211.174052
2.492118724,0.227886814,0.007240333,-0.539619855,9.807254448,0.074084662,0.420933045,176.2578447,208.2581462,192.2579954
-2.860568264,0.237381304,1.472112501,-0.55922128,9.807675278,0.170150875,-0.312717289,168.987986,216.1267557,192.5573709
3.440322372,0.260562695,-0.288551573,-0.552803738,9.805874333,0.064734215,0.518340228,217.5507765,195.8379674,206.6943719
1.689144783,0.156441483,1.430514791,-0.478649663,9.819644025,0.132030078,0.267780709,200.4332524,196.4797854,198.4565189
-1.927387263,0.226862315,0.619088306,-0.502623386,9.818432516,0.204057522,-0.171645436,190.650008,210.1377009,200.3938544
2.189631094,0.290175171,0.894358325,-0.456564166,9.814668639,0.112425651,0.418233217,293.4220353,288.3786793,290.9003573
-0.462546733,0.384812267,0.150088,-0.590047808,9.803622217,0.117204828,-0.034005178,284.6570964,278.6744538,281.6657751
0.827277411,0.361154026,2.143475456,-0.573051264,9.802100354,0.186151725,0.194200885,294.5694538,370.2626623,332.416058
2.751348689,0.276806677,-1.048235268,-0.588549493,9.794845764,-0.050209087,0.550200957,269.0899066,296.9758769,283.0328918
-2.064390356,0.25921838,2.832437083,-0.443456492,9.81312968,0.337143453,-0.346184097,191.5270074,215.9861837,203.7565956
1.557688852,0.202996104,-1.096809394,-0.53747995,9.817921344,-0.041979312,0.392331523,182.2510268,216.206228,199.2286274
-0.723272588,0.211291185,1.733066459,-0.530361859,9.819456499,0.295286427,-0.015709292,115.2049218,135.1625721,125.1837469
-0.475986867,0.305652201,-0.100429581,-0.592666688,9.818056392,0.058502749,-0.082017891,164.9676035,186.7871881,175.8773958
2.838880524,0.208291493,0.854590762,-0.47118513,9.808354121,0.164203779,0.455584698,208.1916677,184.9279882,196.559828
-2.742388417,0.270565114,0.627865204,-0.56964439,9.801481755,0.106756846,-0.371615216,177.4222209,198.7220062,188.0721135
1.449957538,0.282383264,1.437544464,-0.458004052,9.811431414,0.219334843,0.305501882,230.6737874,236.7966762,233.7352318
2.114693141,0.235034404,0.234846371,-0.525879205,9.808378261,0.074283796,0.39521834,157.2219982,185.187982,171.2049901
-2.287156582,0.249326424,0.398131383,-0.527203626,9.807731612,0.174280066,-0.285248285,167.7484768,226.8703168,197.3093968
3.188700193,0.260705658,0.745830184,-0.547084437,9.808233359,0.081365404,0.521835562,257.0582991,207.8441457,232.4512224
1.556578549,0.190476809,0.413639621,-0.469757436,9.823678313,0.146214087,0.25646795,177.2324631,167.3147299,172.2735965
-1.683910021,0.247692587,1.204791875,-0.487736192,9.817430209,0.2099403,-0.18602233,208.8212061,197.6386886,203.2299473
2.696444559,0.303496078,0.914774536,-0.458747021,9.810282173,0.115515966,0.500443698,226.5768546,222.9138562,224.7453554
-0.536200293,0.376212386,0.174233309,-0.58066214,9.806874405,0.138597532,-0.042355492,224.979135,253.9699237,239.4745294
0.582620189,0.338104604,2.059552552,-0.541132479,9.801616186,0.198994906,0.221004816,252.6093144,314.3694588,283.4893866
2.85235899,0.292832417,-1.147106142,-0.599037367,9.794721013,-0.046568332,0.475880789,276.2037291,254.7057972,265.4547632
-2.789257119,0.270397593,2.079710108,-0.479590075,9.807960452,0.326144506,-0.370526856,217.8740604,243.0559442,230.4650023
1.816729105,0.232916767,-0.613199791,-0.524563286,9.821986218,-0.008376737,0.314121621,176.0795161,158.5819217,167.3307189
-0.614717504,0.207672801,2.011246306,-0.52461431,9.81890842,0.227473356,0.034623093,229.1505119,169.818994,199.4847529
-0.119638723,0.270681487,-0.509833689,-0.557435921,9.81370933,0.022237988,-0.038209437,160.7636619,170.7993382,165.7815001
2.674922082,0.174293624,1.250863632,-0.470395255,9.812577573,0.164342389,0.457638583,210.9266241,174.7449682,192.8357962
-2.754113636,0.257330607,0.057884468,-0.565975467,9.80641355,0.10966243,-0.380613539,206.7980906,206.9889774,206.893534
1.731047015,0.2975091,1.928458345,-0.47434557,9.811625635,0.207314169,0.319683737,209.0213449,215.8772975,212.4493212
1.74757515,0.21858276,-0.220929384,-0.541308295,9.808950844,0.075699007,0.385965618,190.3255401,217.2377774,203.7816588
-1.910661307,0.253339253,1.825193352,-0.527838365,9.807801199,0.183625752,-0.301651351,202.7262852,224.9088036,213.8175444
2.694457548,0.260076242,1.154445823,-0.558189006,9.802231923,0.071509907,0.48588867,379.7596261,238.2535015,309.0065638
-2.35203885,0.272842734,2.575201895,-0.460268388,9.813165085,0.32962347,-0.319621509,183.0028702,190.9534118,186.978141
2.01271473,0.20494186,-0.816647325,-0.49715843,9.81350315,-0.040420489,0.350883097,177.1853775,181.2322149,179.2087962
-0.305559579,0.223454636,2.201217454,-0.530782652,9.809323814,0.256626243,0.035932652,185.8062658,151.3095118,168.5578888
-0.272419891,0.279376481,-0.572571379,-0.53992891,9.813503763,-0.001204513,-0.044292915,198.4136581,181.3148487,189.8642534
